time,y,vy,ay
1.819999999999994539e-02,1.013528040531465196e-01,-1.032672877267565154e-01,-4.079280382590003029e+00
1.829999999999994478e-02,1.013424569994440944e-01,-1.036737863218289285e-01,-4.064985950724189223e+00
1.839999999999994418e-02,1.013320693671220241e-01,-1.040788601195058311e-01,-4.050737976769052118e+00
1.849999999999994357e-02,1.013216412984284803e-01,-1.044825137513377550e-01,-4.036536318319259742e+00
1.859999999999994297e-02,1.013111729351491852e-01,-1.048847518346258390e-01,-4.022380832880847912e+00
1.869999999999994236e-02,1.013006644186088268e-01,-1.052855789724244928e-01,-4.008271377986480921e+00
1.879999999999994176e-02,1.012901158896725301e-01,-1.056849997535532076e-01,-3.994207811287139975e+00
1.889999999999994115e-02,1.012795274887472174e-01,-1.060830187526153323e-01,-3.980189990621298080e+00
1.899999999999994055e-02,1.012688993557830791e-01,-1.064796405300218740e-01,-3.966217774065424972e+00
1.909999999999993994e-02,1.012582316302711727e-01,-1.068748697079851817e-01,-3.952291779633024582e+00
1.919999999999993934e-02,1.012475244512432981e-01,-1.072687108493957375e-01,-3.938411414105587927e+00
1.929999999999993873e-02,1.012367779572790616e-01,-1.076611684352228454e-01,-3.924575858271142526e+00
1.939999999999993813e-02,1.012259922865098999e-01,-1.080522469481278169e-01,-3.910785129049680453e+00
1.949999999999993752e-02,1.012151675766190806e-01,-1.084419508683525379e-01,-3.897039202247261525e+00
1.959999999999993692e-02,1.012043039648422571e-01,-1.088302846681731967e-01,-3.883337998206629837e+00
1.969999999999993631e-02,1.011934015879684540e-01,-1.092172528077878652e-01,-3.869681396146638086e+00
1.979999999999993571e-02,1.011824605823413298e-01,-1.096028597346273559e-01,-3.856069268394867855e+00
1.989999999999993510e-02,1.011714810838604539e-01,-1.099871098829593580e-01,-3.842501483320067024e+00
1.999999999999993450e-02,1.011604632279826249e-01,-1.103700076735023017e-01,-3.828977905429467032e+00
2.009999999999993389e-02,1.011494071497232861e-01,-1.107515575133796726e-01,-3.815498398773721433e+00
2.019999999999993329e-02,1.011383129836578160e-01,-1.111317637959725740e-01,-3.802062825928965495e+00
